dataset_name;run_id;execution_time;device;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_0;rel_0;abs_1;rel_1;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
twitter_humor;0;246.95399975776672;cpu;random;0.673;0.518;0.997;0.670;0.039;0.875;16;12;0.75;4;0.25;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;1;282.3183150291443;cpu;random;0.708;0.635;0.862;0.740;0.409;0.602;16;11;0.69;5;0.31;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;2;527.2258388996124;cpu;max_entropy;0.626;0.682;0.508;0.874;0.856;0.471;16;6;0.38;10;0.62;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;3;512.499969959259;cpu;max_entropy;0.662;0.500;1.000;0.662;0.000;0.000;16;13;0.81;3;0.19;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;4;476.72847509384155;cpu;max_entropy_balanced;0.692;0.720;0.633;0.865;0.807;0.529;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.25;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;5;456.90864992141724;cpu;max_entropy_balanced;0.650;0.508;0.949;0.665;0.066;0.400;16;10;0.62;6;0.38;3;4;balanced;max_entropy;0.25;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;6;243.1114320755005;cpu;random;0.721;0.652;0.867;0.751;0.436;0.627;16;11;0.69;5;0.31;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;7;228.69613122940063;cpu;random;0.688;0.662;0.743;0.776;0.580;0.536;16;9;0.56;7;0.44;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;8;448.2871949672699;cpu;max_entropy;0.710;0.664;0.808;0.767;0.519;0.580;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;9;437.54963302612305;cpu;max_entropy;0.705;0.566;0.994;0.693;0.138;0.926;16;11;0.69;5;0.31;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x1690cf100>;0.25;False;False;0.1;None;None;2;True;42;[];None;runs/Dec14_15-52-21_MBP-de-Jose.station;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
