dataset_name;run_id;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;dataset_size;abs_0;rel_0;abs_2;rel_2;abs_1;rel_1;abs_3;rel_3;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
twitter_humor;0;random;0.932;0.915;0.980;0.924;0.829;0.948;0.930;0.938;0.920;0.920;128;59;0.46;35;0.27;26;0.20;8;0.06;3;32;balanced;random;0.0;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;1;max_entropy;0.930;0.925;0.968;0.927;0.865;0.897;0.907;0.975;0.960;0.889;128;49;0.38;31;0.24;35;0.27;13;0.10;3;32;balanced;max_entropy;None;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;2;max_entropy_balanced;0.924;0.898;0.960;0.930;0.892;0.853;0.899;0.967;0.840;1.000;128;48;0.38;36;0.28;34;0.27;10;0.08;3;32;balanced;max_entropy;0.25;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;3;random;0.938;0.926;0.968;0.949;0.901;0.877;0.915;0.983;0.920;0.885;128;64;0.50;27;0.21;25;0.20;12;0.09;3;32;balanced;random;0.0;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;4;max_entropy;0.936;0.922;0.972;0.941;0.874;0.874;0.922;0.967;0.920;1.000;128;45;0.35;40;0.31;32;0.25;11;0.09;3;32;balanced;max_entropy;None;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;5;max_entropy_balanced;0.928;0.908;0.964;0.941;0.883;0.860;0.907;0.959;0.880;0.957;128;43;0.34;41;0.32;34;0.27;10;0.08;3;32;balanced;max_entropy;0.25;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;6;random;0.912;0.887;0.976;0.924;0.802;0.899;0.891;0.927;0.880;0.786;128;55;0.43;35;0.27;30;0.23;8;0.06;3;32;balanced;random;0.0;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;7;max_entropy;0.922;0.909;0.968;0.934;0.865;0.857;0.884;0.974;0.920;0.852;128;39;0.30;40;0.31;33;0.26;16;0.12;3;32;balanced;max_entropy;None;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;8;max_entropy_balanced;0.908;0.886;0.964;0.905;0.784;0.853;0.915;0.967;0.880;0.880;128;44;0.34;37;0.29;31;0.24;16;0.12;3;32;balanced;max_entropy;0.25;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;9;random;0.938;0.924;0.972;0.956;0.874;0.882;0.930;0.945;0.920;0.958;128;59;0.46;32;0.25;24;0.19;13;0.10;3;32;balanced;random;0.0;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;10;max_entropy;0.930;0.916;0.976;0.945;0.883;0.860;0.884;0.966;0.920;0.920;128;54;0.42;27;0.21;37;0.29;10;0.08;3;32;balanced;max_entropy;None;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
twitter_humor;11;max_entropy_balanced;0.930;0.909;0.968;0.945;0.883;0.845;0.907;0.975;0.880;0.957;128;50;0.39;35;0.27;30;0.23;13;0.10;3;32;balanced;max_entropy;0.25;42;320;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7b69062da680>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec14_16-35-53_ccf7cac8320d;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
