dataset_name;run_id;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;dataset_size;abs_1;rel_1;abs_0;rel_0;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
french_twitter_reduced;0;random;0.617;0.619;0.303;0.826;0.935;0.570;16;9;0.56;7;0.44;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;1;random;0.704;0.703;0.840;0.663;0.567;0.778;16;6;0.38;10;0.62;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;2;max_entropy;0.738;0.738;0.643;0.796;0.833;0.698;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;3;max_entropy;0.728;0.729;0.627;0.789;0.831;0.687;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;4;max_entropy_balanced;0.707;0.707;0.605;0.763;0.810;0.669;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.25;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;5;max_entropy_balanced;0.746;0.746;0.659;0.800;0.833;0.707;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.25;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;6;random;0.724;0.724;0.598;0.802;0.850;0.676;16;8;0.50;8;0.50;3;4;balanced;random;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;7;random;0.685;0.684;0.889;0.633;0.478;0.810;16;7;0.44;9;0.56;3;4;balanced;random;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;8;max_entropy;0.700;0.700;0.766;0.679;0.634;0.728;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.0;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;9;max_entropy;0.718;0.718;0.735;0.713;0.701;0.723;16;7;0.44;9;0.56;3;4;balanced;max_entropy;0.0;42;200;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
french_twitter_reduced;10;max_entropy_balanced;0.706;0.706;0.745;0.693;0.666;0.721;16;8;0.50;8;0.50;3;4;balanced;max_entropy;0.25;42;40;sentence-transformers/paraphrase-multilingual-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x79e9738c6ef0>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-43-31_49710652e716;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
